player-name,team,age,height,weight,school,country,GP,PTS,REB,AST,NETRTG,OREB%,DREB,USG%,TS%,AST%
Breanna Stewart,NYL,30,6-4,170,Connecticut,USA,38,20.4,8.5,3.5,12.5,4.9%,20.3%,26.1%,56.9%,18.9%
Brianna Turner,CHI,28,6-3,170,Notre Dame,USA,27,1.2,2.0,0.4,-20.2,4.1%,16.4%,6.8%,61.4%,6.5%
Bridget Carleton,MIN,27,6-1,177,Iowa State,Canada,39,9.6,3.8,2.2,10.9,3.4%,8.9%,13.2%,62.0%,11.6%
Brionna Jones,CON,29,6-3,215,Maryland,USA,40,13.7,5.5,1.5,12.3,8.1%,13.6%,21.5%,58.1%,9.9%
Brittney Griner,PHO,34,6-9,205,Baylor,USA,30,17.8,6.6,2.3,0.4,7.0%,15.6%,25.2%,62.5%,15.9%
Brittney Sykes,WAS,31,5-9,154,Syracuse,USA,18,12.2,4.1,3.1,0.9,2.8%,14.7%,27.8%,49.0%,24.1%
Caitlin Bickle,CON,24,6-1,-,Baylor,USA,8,0.0,0.0,0.0,-32.8,0.0%,0.0%,11.1%,0.0%,0.0%
Caitlin Clark,IND,23,6-0,152,Iowa,USA,40,19.2,5.7,8.4,-2.4,1.0%,14.6%,26.2%,58.3%,38.3%
Cameron Brink,LAS,23,6-4,170,Stanford,USA,15,7.5,5.3,1.7,-9.3,5.6%,17.9%,19.6%,49.6%,14.1%
Cecilia Zandalasini,MIN,28,6-2,175,None,Italy,40,4.6,1.2,1.1,0.5,1.1%,8.6%,17.2%,56.9%,15.1%
